name_common,age,mlb_ID,player_ID,year_ID,stint_ID,team_ID,lg_ID,pitcher,salary,OPS_plus,WAR,sumWAR,avgOPSplus,adjusted_sal
Roberto Alomar,32.0,110183.0,alomaro01,2000,1,CLE,AL,N,7196656.0,114.1856,5.58,5.58,114.1856,9905515.767433217
Roberto Alomar,33.0,110183.0,alomaro01,2001,1,CLE,AL,N,7750000.0,150.1924,7.31,7.31,150.1924,10372003.105590062
Roberto Alomar,34.0,110183.0,alomaro01,2002,1,NYM,NL,N,7939664.0,89.6548,0.61,0.61,89.6548,10460452.152795997
Roberto Alomar,35.0,110183.0,alomaro01,2003,1,NYM,NL,N,8000000.0,83.8316,-0.2,-0.13,80.22104999999999,10305086.956521738
Roberto Alomar,36.0,110183.0,alomaro01,2004,1,ARI,NL,N,1000000.0,115.7313,0.08,-0.7200000000000001,65.70585,1254722.0751720488
Sandy Alomar,24.0,110184.0,alomasa02,1990,1,CLE,AL,N,115000.0,108.3916,2.37,2.37,108.3916,208545.94491201226
Sandy Alomar,25.0,110184.0,alomasa02,1991,1,CLE,AL,N,360000.0,47.1103,-0.55,-0.55,47.1103,626476.6519823789
Sandy Alomar,26.0,110184.0,alomasa02,1992,1,CLE,AL,N,525000.0,75.0899,1.56,1.56,75.0899,886913.2216678546
Sandy Alomar,27.0,110184.0,alomasa02,1993,1,CLE,AL,N,1300000.0,91.1875,0.85,0.85,91.1875,2132332.8719723183
Sandy Alomar,28.0,110184.0,alomasa02,1994,1,CLE,AL,N,2200000.0,115.233,2.1,2.1,115.233,3518470.985155196
Sandy Alomar,29.0,110184.0,alomasa02,1995,1,CLE,AL,N,2550000.0,107.4362,1.31,1.31,107.4362,3965835.62992126
Sandy Alomar,30.0,110184.0,alomasa02,1996,1,CLE,AL,N,2575000.0,75.196,1.02,1.02,75.196,3889858.3492670488
Sandy Alomar,31.0,110184.0,alomasa02,1997,1,CLE,AL,N,2600000.0,128.329,3.88,3.88,128.329,3839527.7258566977
Sandy Alomar,32.0,110184.0,alomasa02,1998,1,CLE,AL,N,2725000.0,58.8408,-0.22,-0.22,58.8408,3962400.7668711655
Sandy Alomar,33.0,110184.0,alomasa02,1999,1,CLE,AL,N,2800000.0,110.9383,0.45,0.45,110.9383,3983478.9915966387
Sandy Alomar,34.0,110184.0,alomasa02,2000,1,CLE,AL,N,2700000.0,82.9357,0.55,0.55,82.9357,3716294.4250871083
Sandy Alomar,35.0,110184.0,alomasa02,2001,1,CHW,AL,N,2900000.0,64.0379,0.22,0.22,64.0379,3881136.645962733
Sandy Alomar,36.0,110184.0,alomasa02,2002,1,CHW,AL,N,2500000.0,106.2829,0.66,0.45000000000000007,77.30324999999999,3293732.629238466
Sandy Alomar,37.0,110184.0,alomasa02,2003,1,CHW,AL,N,700000.0,77.7787,0.24,0.24,77.7787,901695.1086956522
Sandy Alomar,38.0,110184.0,alomasa02,2004,1,CHW,AL,N,700000.0,57.7578,-0.01,-0.01,57.7578,878305.4526204341
Sandy Alomar,39.0,110184.0,alomasa02,2005,1,TEX,AL,N,550000.0,65.5871,-0.19,-0.19,65.5871,667482.5908858166
Sandy Alomar,40.0,110184.0,alomasa02,2006,1,LAD,NL,N,650000.0,84.4605,-0.18,-0.16999999999999998,68.18549999999999,764191.7162698413
Yonder Alonso,23.0,475174.0,alonsyo01,2010,1,CIN,NL,N,500000.0,28.0836,-0.04,-0.04,28.0836,543477.3636130168
Yonder Alonso,24.0,475174.0,alonsyo01,2011,1,CIN,NL,N,600000.0,152.9161,0.22,0.22,152.9161,632216.7343146364
Yonder Alonso,25.0,475174.0,alonsyo01,2012,1,SDP,NL,N,1000000.0,109.8435,1.49,1.49,109.8435,1032330.9842591706
Yonder Alonso,26.0,475174.0,alonsyo01,2013,1,SDP,NL,N,1120000.0,105.6872,1.23,1.23,105.6872,1139519.4821361883
Yonder Alonso,27.0,475174.0,alonsyo01,2014,1,SDP,NL,N,980000.0,96.1704,1.28,1.28,96.1704,981163.2366855907
